1101618	1	3
1101618	4	5
1101618	22	1
1101675	16	4
1101675	21	2
1101683	1	3
1101758	1	4
1101758	2	3
1101758	4	3
1101758	16	5
1101758	18	1
1101758	21	1
1101790	1	3
1101790	16	4
1101790	18	5
1101790	21	3
1101790	22	5
1101824	11	2
1101824	14	2
1101824	16	3
1101824	21	2
1101824	22	3
1101832	1	3
1101832	14	1
1101832	18	2
1101832	21	1
1101832	22	4
1101865	1	3
1101865	16	4
1101865	21	4
1101949	1	2
1102046	1	2
1102046	21	1
1102053	4	1
1102053	16	5
1102053	18	2
1102079	2	2
1102079	16	1
1102129	1	4
1102129	4	1
1102152	1	4
1102152	4	1
1102152	12	1
1102152	16	2
1102152	21	1
1102152	22	5
1102186	16	4
1102236	4	1
1102244	4	2
1102293	1	5
1102293	2	2
1102293	4	5
1102293	14	1
1102293	16	5
1102293	22	3
1102301	1	3
1102301	4	2
1102301	16	3
1102327	1	5
1102327	16	1
1102327	21	1
1102392	1	2
1102392	4	3
1102392	18	2
1102418	2	1
1102418	13	2
1102426	1	4
1102459	21	1
1102459	22	2
1102491	1	1
1102491	16	5
1102533	1	3
1102533	2	1
1102533	18	2
1102541	22	2
1102673	22	1
1102699	1	1
1102699	4	2
1102699	14	1
1102699	16	2
1102715	1	2
1102780	1	5
1102780	4	1
1102780	14	2
1102780	16	5
1102780	21	4
1102806	1	2
1102806	16	3
1102806	18	1
1102822	20	1
1102822	22	5
1102863	16	4
1102947	4	2
1102988	4	1
1102996	1	2
1102996	2	5
1102996	16	5
1103010	21	2
1103010	22	1
1103028	13	2
1103051	4	3
1103051	21	1
1103051	22	1
1103101	16	1
1103259	16	5
1103259	21	4
1103283	21	1
1103309	1	2
1103309	14	5
1103341	1	1
1103341	16	1
1103341	18	1
1103390	1	4
1103390	4	2
1103390	21	2
1103390	22	4
1103408	1	2
1103408	4	2
1103408	12	1
1103408	14	5
1103408	16	5
1103408	21	4
1103408	22	4
1103473	13	1
1103473	16	5
1103481	14	1
1103481	16	4
1103481	18	3
1103481	21	2
1103499	1	4
1103499	4	1
1103499	16	4
1103499	18	2
1103499	21	1
1103499	22	3
1103515	1	2
1103515	2	2
1103564	2	5
1103564	4	1
1103564	22	3
1103614	1	3
1103614	16	5
1103648	16	5
1103648	18	4
1103648	22	2
1103671	1	2
1103671	21	3
1103671	22	2
1103705	1	5
1103705	21	2
1103739	1	2
1103754	14	1
1103754	16	4
1103754	21	2
1103762	1	3
1103762	16	5
1103762	18	4
1103762	21	2
1103762	22	1
1103770	16	1
1103804	16	4
1103838	1	5
1103838	2	2
1103838	4	2
1103838	13	2
1103838	14	4
1103838	18	5
1103838	21	4
1103879	4	1
1103879	16	1
1103879	21	2
1103879	22	4
1103911	1	3
1103911	2	1
1103911	4	1
1103911	14	5
1103911	16	4
1103911	18	1
1103911	20	1
1103911	21	4
1103929	4	2
1103986	1	2
1103986	4	2
1103986	13	1
1103986	16	5
1103986	18	2
1103986	22	3
1104000	16	2
1104000	18	2
1104000	22	2
1104174	4	1
1104174	22	2
1104208	14	1
1104208	16	4
1104208	18	1
1104208	22	4
1104273	4	5
1104273	16	1
1104273	21	3
1104307	4	4
1104323	16	5
1104331	13	3
1104331	16	5
1104331	18	2
1104349	1	5
1104349	11	3
1104349	12	3
1104349	16	5
1104349	18	3
1104349	22	1
1104380	4	3
1104380	12	1
1104380	13	2
1104380	14	3
1104380	16	4
1104380	18	3
1104380	21	3
1104398	4	5
1104398	16	4
1104398	22	4
1104430	13	3
1104430	16	5
1104430	18	3
1104430	21	5
1104430	22	4
1104463	18	2
1104497	1	4
1104497	2	2
1104497	4	5
1104497	11	3
1104497	18	1
1104497	21	2
1104497	22	4
1104505	4	1
1104505	22	5
1104513	1	1
1104513	18	2
1104547	1	2
1104562	1	2
1104562	16	3
1104562	21	1
1104570	4	4
1104570	16	3
1104570	18	2
1104570	21	3
1104570	22	5
1104752	1	2
1104786	1	5
1104786	4	4
1104786	16	4
1104786	18	1
1104786	20	2
1104786	21	1
1104786	22	3
1104877	4	2
1104901	1	4
1104901	2	1
1104901	21	4
1105007	1	4
1105007	4	4
1105007	11	1
1105007	13	2
1105007	16	5
1105007	18	4
1105007	21	5
1105064	18	1
1105098	1	2
1105098	13	1
1105098	14	5
1105098	16	5
1105098	18	4
1105098	21	5
1105270	21	1
1105304	14	1
1105304	16	4
1105304	18	4
1105304	21	5
1105304	22	2
1105320	4	2
1105320	18	4
1105320	21	4
1105320	22	2
1105437	21	4
1105437	22	4
1105494	1	2
1105494	18	1
1105494	22	3
1105544	4	5
1105544	16	5
1105544	22	3
1105569	1	2
1105569	4	3
1105569	16	3
1105627	16	4
1105627	18	3
1105643	1	4
1105643	12	2
1105643	13	1
1105643	18	1
1105643	21	4
1105643	22	5
1105676	1	2
1105676	2	1
1105676	4	2
1105676	14	4
1105676	21	4
1105676	22	4
1105718	16	1
1105759	18	2
1105767	1	3
1105767	4	5
1105767	13	3
1105767	18	2
1105767	21	4
1105767	22	1
1105775	2	2
1105775	11	3
1105775	16	5
1105775	18	4
1105775	21	5
1105775	22	2
1105809	1	5
1105809	2	2
1105817	1	3
1105817	4	3
1105817	16	1
1105817	22	2
1105825	4	5
1105825	13	2
1105825	16	4
1105825	21	5
