1101022	100	1
1101022	109	1
1101022	200	6
1101022	300	3
1101022	400	4
1101022	408	3
1101022	600	6
1101022	1400	1
1101022	1600	1
1101022	1700	2
1101048	100	9
1101048	300	15
1101048	1000	1
1101048	1400	1
1101097	100	1
1101097	408	1
1101097	600	2
1101097	1200	2
1101204	109	2
1101204	300	4
1101204	400	1
1101220	100	2
1101220	109	6
1101220	200	8
1101220	300	2
1101220	400	2
1101220	415	2
1101220	1200	15
1101220	1400	1
1101261	100	1
1101261	109	2
1101261	408	1
1101261	600	2
1101261	1132	1
1101261	1400	1
1101261	1500	1
1101261	1600	2
1101378	100	6
1101378	109	1
1101378	300	7
1101378	400	3
1101378	600	9
1101378	800	3
1101378	1000	1
1101378	1028	1
1101378	1400	2
1101402	100	2
1101402	300	1
1101402	800	1
1101410	200	1
1101444	200	1
1101444	300	2
1101444	400	3
1101444	408	1
1101485	100	4
1101485	102	1
1101485	109	1
1101485	200	8
1101485	400	11
1101485	408	4
1101485	410	1
1101485	500	1
1101485	600	7
1101485	800	1
1101485	900	1
1101485	1100	1
1101485	1200	8
1101485	1500	1
1101485	1600	1
1101519	100	9
1101519	109	10
1101519	200	3
1101519	600	10
1101519	1200	6
1101519	1400	1
1101543	100	3
1101568	200	7
1101568	300	3
1101568	400	2
1101568	410	1
1101568	500	1
1101568	600	2
1101568	1200	1
1101568	1500	1
1101568	1700	1
1101618	100	19
1101618	109	2
1101618	400	2
1101618	800	12
1101618	1400	1
1101618	1500	7
1101675	100	2
1101675	109	2
1101675	408	1
1101675	800	7
1101683	200	1
1101683	600	2
1101758	125	1
1101758	200	2
1101758	408	1
1101758	415	2
1101758	600	5
1101758	1200	9
1101758	1400	2
1101758	1600	3
1101758	2900	2
1101790	100	21
1101790	200	15
1101790	300	3
1101790	400	6
1101790	408	3
1101790	410	1
1101790	1013	1
1101790	1028	1
1101790	1100	1
1101790	1132	5
1101790	1200	1
1101824	100	2
1101824	109	1
1101824	200	4
1101824	300	2
1101824	410	1
1101824	600	3
1101824	1013	1
1101824	1028	1
1101824	1200	3
1101832	300	3
1101832	408	2
1101832	600	3
1101832	1132	1
1101865	109	1
1101865	200	1
1101865	400	6
1101865	1013	4
1101865	1132	1
1101865	1200	7
1102046	100	3
1102046	200	2
1102046	300	2
1102046	600	1
1102046	900	2
1102046	1013	1
1102046	1500	1
1102046	1600	1
1102053	100	1
1102053	109	1
1102053	125	1
1102053	300	2
1102053	408	2
1102053	600	9
1102053	1100	2
1102053	1600	1
1102079	415	2
1102079	1500	1
1102129	109	2
1102129	400	1
1102129	1600	1
1102152	100	4
1102152	103	1
1102152	109	1
1102152	200	7
1102152	300	3
1102152	400	3
1102152	408	1
1102152	900	1
1102152	1028	1
1102152	1200	8
1102186	100	1
1102186	200	2
1102186	300	2
1102186	400	2
1102186	600	3
1102186	1200	1
1102236	100	1
1102244	200	1
1102244	1600	2
1102293	100	8
1102293	102	2
1102293	104	2
1102293	109	14
1102293	112	1
1102293	134	1
1102293	200	26
1102293	400	44
1102293	406	1
1102293	408	3
1102293	410	2
1102293	500	40
1102293	600	29
1102293	900	5
1102293	1100	13
1102293	1200	18
1102293	1400	7
1102293	1500	3
1102293	1700	4
1102293	2900	1
1102301	100	1
1102301	109	1
1102301	117	4
1102301	300	1
1102301	400	1
1102301	1400	1
1102327	109	1
1102327	1013	21
1102392	200	3
1102392	300	2
1102392	400	1
1102392	408	1
1102392	410	1
1102392	600	2
1102392	800	1
1102392	1028	1
1102392	1600	1
1102418	1013	1
1102418	1400	1
1102426	109	9
1102426	1100	1
1102426	1600	1
1102459	204	1
1102483	800	6
1102491	125	1
1102491	200	13
1102491	300	4
1102491	400	2
1102491	408	6
1102491	410	2
1102491	800	1
1102491	1013	2
1102491	1200	2
1102491	1500	2
1102491	1600	1
1102491	1700	2
1102533	400	1
1102533	1400	1
1102541	200	1
1102541	800	1
1102673	200	1
1102673	400	1
1102673	1500	1
1102699	125	1
1102715	112	1
1102715	121	1
1102780	100	34
1102780	200	13
1102780	300	3
1102780	600	9
1102780	1000	3
1102780	1013	2
1102780	1100	5
1102780	1132	3
1102780	1200	6
1102780	1500	2
1102806	300	1
1102806	400	1
1102806	408	2
1102806	1000	1
1102806	1200	4
1102822	100	2
1102822	109	4
1102822	300	5
1102822	400	4
1102822	408	11
1102822	500	5
1102822	800	1
1102822	1100	1
1102822	1132	1
1102822	1200	2
1102822	1500	3
1102863	200	1
1102863	300	3
1102863	400	3
1102863	600	1
1102863	1200	1
1102863	1400	1
1102947	100	3
1102947	300	3
1102947	1000	1
1102988	800	2
1102988	1200	1
1102996	100	1
1102996	109	2
1102996	117	2
1102996	125	1
1102996	200	3
1102996	204	1
1102996	415	12
1102996	600	2
1102996	1000	1
1103010	100	1
1103010	104	1
1103010	200	2
1103010	400	2
1103010	406	1
1103010	1100	1
1103010	1400	2
1103028	109	1
1103051	200	3
1103051	600	2
1103051	1200	1
1103101	400	1
1103259	100	21
1103259	104	5
1103259	109	15
1103259	204	1
1103259	406	2
1103259	410	1
1103259	600	4
1103259	1100	1
1103259	1200	2
1103309	100	1
1103309	109	2
1103309	408	4
1103309	1000	1
1103309	1200	7
1103341	200	2
1103390	100	4
1103390	104	1
